repo,side,canonical_or_raw,draft_bucket,draft_reason,notes
kubernetes-bootstrap,llm_only,cors,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,curl,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,docker,a,detector_gap_iac_or_sdk,
kubernetes-bootstrap,llm_only,dynamodb,?,unclassified_review_required,
kubernetes-bootstrap,llm_only,eslint,e,policy_tooling,
kubernetes-bootstrap,llm_only,go,a,detector_gap_language,
kubernetes-bootstrap,llm_only,grafana,a,detector_gap_helm_argocd,
kubernetes-bootstrap,llm_only,grpc,?,unclassified_review_required,
kubernetes-bootstrap,llm_only,hmac-sha256,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,http,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,json,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,jwt,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,karpenter,a,detector_gap_helm_argocd,
kubernetes-bootstrap,llm_only,loki,a,detector_gap_helm_argocd,
kubernetes-bootstrap,llm_only,openssl,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,opentelemetry,a,detector_gap_helm_argocd,
kubernetes-bootstrap,llm_only,pgbouncer,a,detector_gap_db_client_in_pkg,
kubernetes-bootstrap,llm_only,pgvector,a,detector_gap_db_client_in_pkg,
kubernetes-bootstrap,llm_only,pino,d,likely_hallucination_or_generic,
kubernetes-bootstrap,llm_only,pip,e,policy_tooling,
kubernetes-bootstrap,llm_only,pprof,?,unclassified_review_required,
kubernetes-bootstrap,llm_only,prometheus,a,detector_gap_helm_argocd,
kubernetes-bootstrap,llm_only,pyroscope,a,detector_gap_helm_argocd,
kubernetes-bootstrap,llm_only,pytest,e,policy_tooling,
kubernetes-bootstrap,llm_only,pytest-mock,e,policy_tooling,
kubernetes-bootstrap,llm_only,python,a,detector_gap_language,
kubernetes-bootstrap,llm_only,pyyaml,e,policy_tooling,
kubernetes-bootstrap,llm_only,ruff,e,policy_tooling,
kubernetes-bootstrap,llm_only,stripe,a,detector_gap_sdk_in_pkg,
kubernetes-bootstrap,llm_only,terraform,a,detector_gap_iac_or_sdk,
kubernetes-bootstrap,llm_only,tsx,e,policy_tooling,
kubernetes-bootstrap,llm_only,vite,e,policy_tooling,
kubernetes-bootstrap,llm_only,yarn,e,policy_tooling,
kubernetes-bootstrap,llm_only,zod,?,unclassified_review_required,
tucaken-app,llm_only,@tanstack/react-query,a,detector_gap_framework_in_pkg,
tucaken-app,llm_only,@testing-library/react,a,detector_gap_framework_in_pkg,
tucaken-app,llm_only,alloy,a,detector_gap_helm_argocd,
tucaken-app,llm_only,anthropic,a,detector_gap_sdk_in_pkg,
tucaken-app,llm_only,anthropic_claude,a,detector_gap_sdk_in_pkg,
tucaken-app,llm_only,argo_rollouts,a,detector_gap_helm_argocd,
tucaken-app,llm_only,argocd,a,detector_gap_helm_argocd,
tucaken-app,llm_only,argocd_image_updater,a,detector_gap_helm_argocd,
tucaken-app,llm_only,aws_acm,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_api_gateway,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_bedrock,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_cdk,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_cloudformation,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_cloudfront,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_cloudtrail,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_cognito,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_cost_explorer,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_ec2,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_ecr,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_ecs,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_elb,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_iam,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_kafka,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_kms,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_lambda,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_rds,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_route53,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_sdk,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_secrets_manager,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_sqs,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_ssm,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_step_functions,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_vpc,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws_waf,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,aws-sdk,a,detector_gap_aws_iac_sdk,
tucaken-app,llm_only,azure_sql,?,unclassified_review_required,
tucaken-app,llm_only,bash,a,detector_gap_language,
tucaken-app,llm_only,bun,e,policy_tooling,
tucaken-app,llm_only,calico,a,detector_gap_helm_argocd,
tucaken-app,llm_only,cdk_nag,a,detector_gap_iac_or_sdk,
tucaken-app,llm_only,checkov,a,detector_gap_helm_argocd,
tucaken-app,llm_only,cors,d,likely_hallucination_or_generic,
tucaken-app,llm_only,curl,d,likely_hallucination_or_generic,
tucaken-app,llm_only,docker,a,detector_gap_iac_or_sdk,
tucaken-app,llm_only,dynamodb,?,unclassified_review_required,
tucaken-app,llm_only,esbuild,e,policy_tooling,
tucaken-app,llm_only,eslint,e,policy_tooling,
tucaken-app,llm_only,external_secrets,a,detector_gap_helm_argocd,
tucaken-app,llm_only,fastapi,a,detector_gap_framework_in_pkg,
tucaken-app,llm_only,framer-motion,a,detector_gap_framework_in_pkg,
tucaken-app,llm_only,go,a,detector_gap_language,
tucaken-app,llm_only,grafana,a,detector_gap_helm_argocd,
tucaken-app,llm_only,graphql,a_or_d,review_individually,
tucaken-app,llm_only,helm,a,detector_gap_helm_argocd,
tucaken-app,llm_only,hmac,d,likely_hallucination_or_generic,
tucaken-app,llm_only,hmac-sha256,d,likely_hallucination_or_generic,
tucaken-app,llm_only,http,d,likely_hallucination_or_generic,
tucaken-app,llm_only,ioredis,a,detector_gap_db_client_in_pkg,
tucaken-app,llm_only,jose,d,likely_hallucination_or_generic,
tucaken-app,llm_only,json,d,likely_hallucination_or_generic,
tucaken-app,llm_only,jwt,d,likely_hallucination_or_generic,
tucaken-app,llm_only,koa,a,detector_gap_framework_in_pkg,
tucaken-app,llm_only,kubernetes,a,detector_gap_helm_argocd,
tucaken-app,llm_only,loki,a,detector_gap_helm_argocd,
tucaken-app,llm_only,nextjs,a,detector_gap_framework_in_pkg,
tucaken-app,llm_only,npm,e,policy_tooling,
tucaken-app,llm_only,oauth2,a_or_d,review_individually,
tucaken-app,llm_only,openai,a,detector_gap_sdk_in_pkg,
tucaken-app,llm_only,opentelemetry,a,detector_gap_helm_argocd,
tucaken-app,llm_only,pg,a,detector_gap_db_client_in_pkg,
tucaken-app,llm_only,pgbouncer,a,detector_gap_db_client_in_pkg,
tucaken-app,llm_only,pgvector,a,detector_gap_db_client_in_pkg,
tucaken-app,llm_only,postcss,e,policy_tooling,
tucaken-app,llm_only,pyroscope,a,detector_gap_helm_argocd,
tucaken-app,llm_only,python,a,detector_gap_language,
tucaken-app,llm_only,react-dom,a,detector_gap_framework_in_pkg,
tucaken-app,llm_only,redis,a,detector_gap_db_client_in_pkg,
tucaken-app,llm_only,rust,a,detector_gap_language,
tucaken-app,llm_only,sentry,d,likely_hallucination_or_generic,
tucaken-app,llm_only,sha256,d,likely_hallucination_or_generic,
tucaken-app,llm_only,starlette,a,detector_gap_framework_in_pkg,
tucaken-app,llm_only,stripe,a,detector_gap_sdk_in_pkg,
tucaken-app,llm_only,terraform,a,detector_gap_iac_or_sdk,
tucaken-app,llm_only,traefik,a,detector_gap_helm_argocd,
tucaken-app,llm_only,tsx,e,policy_tooling,
tucaken-app,llm_only,turbo,e,policy_tooling,
tucaken-app,llm_only,typescript,a,detector_gap_language,
tucaken-app,llm_only,undici,a_or_d,review_individually,
tucaken-app,llm_only,url,d,likely_hallucination_or_generic,
tucaken-app,llm_only,uuid,d,likely_hallucination_or_generic,
tucaken-app,llm_only,yarn,e,policy_tooling,
tucaken-app,llm_only,zustand,a,detector_gap_framework_in_pkg,
